Date,Building,Stream,Substream,Volume,Weight,Notes
11/14/16,Malley,Recycling,Plastic Film,0.75,4.0,"liners, plastic bags"
11/14/16,Malley,Recycling,Paperboard Rolls,0.25,0.2,badminton birdie containers
11/14/16,Malley,Recycling,Aseptic Containers,0.1,1.3,
11/14/16,Malley,Recycling,Paper,0.5,6.5,office paper
11/14/16,Malley,Recycling,Terracycle,0.1,0.3,energy bar wrapper
11/14/16,Malley,Recycling,Reusables,0.1,0.7,"smoothie container, stickers"
11/14/16,Malley,Recycling,Cardboard,1.0,12.1,flattened boxes
11/14/16,Malley,Recycling,Misc. Meal Waste,0.05,0.8,banana peel
11/14/16,Malley,Compost,Paper Towels,1.0,13.2,
11/14/16,Malley,Compost,Paper Towels,1.0,17.7,
11/14/16,Malley,Compost,Paper Towels,1.0,13.5,
11/14/16,Malley,Compost,Paper,0.1,0.4,paper bags
11/14/16,Malley,Compost,Misc. Meal Waste,0.1,8.3,"banana peel, chips, apple core"
11/14/16,Malley,Compost,Compostable Food Containers,1.0,9.1,"food plates, clam shells"
11/14/16,Malley,Compost,Other Landfill,0.33,1.8,"plates, chip bag, powerade cups"
11/14/16,Malley,Compost,Reusables,,0.4,"socks, rubber bands"
11/14/16,Malley,Compost,Plastic 1-7,0.1,0.4,"water bottles, coffee lids"
11/14/16,Malley,Compost,Terracycle,0.05,0.7,wrappers
11/14/16,Malley,Compost,Plastic Film,0.1,0.7,"ziploc, togo"
11/14/16,Malley,Compost,Metal,0.1,0.5,foil
11/14/16,Malley,Compost,Paperboard Rolls,0.05,0.05,2 pt rolls
5/15/18,Facilities,Landfill,Plastic Film,0.75,3.6,food containers
5/15/18,Facilities,Landfill,Plastic 1-7,1.25,9.8,starbucks cups
5/15/18,Facilities,Landfill,Plastic Film,0.75,2.3,
5/15/18,Facilities,Landfill,Paper,0.75,8.7,"sheets of paper, paper bags"
5/15/18,Facilities,Landfill,Glass,0.1,5.6,
5/15/18,Facilities,Landfill,E-/Universal Waste,0.1,1.9,
5/15/18,Facilities,Landfill,Cardboard,0.5,1.9,cardboard boxes
5/15/18,Facilities,Landfill,Metal,0.1,6.8,
5/15/18,Facilities,Landfill,Other Landfill,1.0,15.2,
5/15/18,Facilities,Landfill,Paperboard Rolls,0.05,0.1,
5/15/18,Facilities,Landfill,Const/Demo Waste,0.25,10.9,
5/15/18,Facilities,Landfill,Styrofoam,0.1,1.3,
5/15/18,Facilities,Landfill,Reusables,0.5,,"boots, gloves, pens, jumper cables"
5/15/18,Facilities,Landfill,Other Landfill,0.33,2.3,coffee cups
5/15/18,Facilities,Landfill,Paper Towels,0.8,8.7,
5/15/18,Facilities,Landfill,Compostable Food Containers,1.0,12.4,"to go boxes, flowers, clear cups"
5/15/18,Facilities,Landfill,Misc. Meal Waste,0.25,16.6,
3/13/17,University Villas,Landfill,Plastic 1-7,1.0,6.5,"bottles, fruit containers, to go cups, lots of packaged foods"
3/13/17,University Villas,Landfill,Paper,1.0,6.2,"store bags ,frozen food boxes,office papers, packaged foods"
3/13/17,University Villas,Landfill,Other Landfill,0.75,6.3,"ice cream container, food packaging,cleaning wipes, easy disposable"
3/13/17,University Villas,Landfill,Plastic Film,1.0,5.5,"trash bags,food wrapping, bread bags"
3/13/17,University Villas,Landfill,Misc. Meal Waste,0.33,43.2,"moldy food, Lots of waste"
3/13/17,University Villas,Landfill,Plastic 1-7,0.75,4.5,"food containers, solo cups"
3/13/17,University Villas,Landfill,Paper,0.67,3.9,"office paper, store bags"
3/13/17,University Villas,Landfill,Plastic 1-7,1.0,6.2,"produce packaging, food containers"
3/13/17,University Villas,Landfill,Paper Towels,0.9,11.4,
3/13/17,University Villas,Landfill,Compostable Food Containers,1.0,11.9,"plates, food containers, q-tips"
3/13/17,University Villas,Landfill,Glass,0.1,8.3,bottles
3/13/17,University Villas,Landfill,Cardboard,0.75,3.1,corrugated
3/13/17,University Villas,Landfill,Plastic Film,0.67,2.7,bags
3/13/17,University Villas,Landfill,Metal,0.33,2.8,"foil, cans"
3/13/17,University Villas,Landfill,Terracycle,0.1,0.5,wrappers
3/13/17,University Villas,Landfill,E-/Universal Waste,0.1,0.1,cords
3/13/17,University Villas,Landfill,Aseptic Containers,0.1,0.1,shampoo
3/13/17,University Villas,Landfill,Reusables,0.1,10.2,"socks, laces, icepack"
3/13/17,University Villas,Landfill,Compostable Food Containers,0.5,2.0,"plates, egg cartons"
3/13/17,University Villas,Landfill,Paper Towels,0.1,0.7,napkins
3/13/17,University Villas,Landfill,Other Landfill,0.75,3.2,"junkfood, packaging, wrappers"
3/13/17,University Villas,Landfill,Misc. Meal Waste,0.33,30.7,
3/13/17,University Villas,Landfill,Other Landfill,0.1,0.8,
3/13/17,University Villas,Landfill,Paperboard Rolls,0.1,0.8,
5/4/16,University Villas,Landfill,Compostable Food Containers,1.0,10.1,"clam shell containers, pizza boxes, soiled paper"
5/4/16,University Villas,Landfill,Misc. Meal Waste,0.5,29.5,"bread ends, salami, mushrooms"
5/4/16,University Villas,Landfill,Plastic 1-7,1.0,7.7,"external clamshells, beverage containers, chicken containers"
5/4/16,University Villas,Landfill,Paperboard Rolls,0.13,0.8,
5/4/16,University Villas,Landfill,Paper,0.75,5.3,"trader joes bags, food boxes, coupons"
5/4/16,University Villas,Landfill,Cardboard,1.0,5.0,"klenex boxes, strawberry flat"
5/4/16,University Villas,Landfill,Compostable Food Containers,1.0,5.9,"food wrapping, soiler paper, cups"
5/4/16,University Villas,Landfill,Plastic Film,1.0,6.2,"ziplocs, plastic bags"
5/4/16,University Villas,Landfill,Other Landfill,1.0,9.0,"food packaging, styrofoam, coffee cups"
5/4/16,University Villas,Landfill,Aseptic Containers,0.06,1.5,milk cartons
5/4/16,University Villas,Landfill,Metal,0.33,3.6,"cans, foil, monster drinks"
5/4/16,University Villas,Landfill,Glass,0.33,19.8,"alcohol bottles, juice, soda cans"
5/4/16,University Villas,Landfill,E-/Universal Waste,0.03,0.1,"batteries, phone charger"
5/4/16,University Villas,Landfill,Terracycle,0.04,1.7,"bar wrappers, shampoo, deoderant, makeup"
5/4/16,University Villas,Landfill,Reusables,0.03,0.1,tupperware
5/4/16,University Villas,Landfill,Plastic 1-7,1.0,6.7,"cookie trays, powerade bottles, water bottles"
5/4/16,University Villas,Landfill,Misc. Meal Waste,0.33,23.8,
5/4/16,University Villas,Landfill,Paper Towels,0.25,1.1,
2/11/16,Graham,Landfill,Cardboard,1.0,7.4,"capri sun box, misc boxes"
2/11/16,Graham,Landfill,Compostable Food Containers,1.0,7.3,"ben and jerrys container, clamshells, soup containers"
2/11/16,Graham,Landfill,Plastic 1-7,1.0,6.9,"gatorade, solo cups, water bottles, milk jugs"
2/11/16,Graham,Landfill,Paper Towels,1.0,6.9,
2/11/16,Graham,Landfill,Paper,1.0,5.1,"to-go food bags, instructions"
2/11/16,Graham,Landfill,Paper Towels,0.25,2.6,
2/11/16,Graham,Landfill,Compostable Food Containers,0.75,5.7,"coke cups, q-tips, clear cups, pizza boxes"
2/11/16,Graham,Landfill,Paper,0.13,1.6,"recipts, brown bags"
2/11/16,Graham,Landfill,Cardboard,0.33,1.0,boxes
2/11/16,Graham,Landfill,Other Landfill,0.5,5.4,Chip and candy wrappers
2/11/16,Graham,Landfill,Glass,0.06,7.9,"snapple, alcohol bottles"
2/11/16,Graham,Landfill,Metal,0.25,2.1,"soda cans, aluminum foil, chipotle cover"
2/11/16,Graham,Landfill,Plastic Film,1.0,6.2,"plastic bags, wrappers"
2/11/16,Graham,Landfill,Plastic 1-7,0.6,4.0,"soda bottles, other drink containers, yogurt containers"
2/11/16,Graham,Landfill,Reusables,0.75,7.9,"pillow, socks, jeans, benson cups"
2/11/16,Graham,Landfill,Paperboard Rolls,0.01,0.01,
2/11/16,Graham,Landfill,Terracycle,0.25,8.0,"wrappers, beauty products"
2/11/16,Graham,Landfill,Misc. Meal Waste,0.25,24.2,
5/5/15,Graham,Landfill,Paper Towels,1.0,6.1,bags of only paper towels
5/5/15,Graham,Landfill,Plastic 1-7,1.0,6.9,"Odwalla, some bottled water"
5/5/15,Graham,Landfill,Compostable Food Containers,1.0,5.0,"to-go clamshells, plates"
5/5/15,Graham,Landfill,Other Landfill,2.0,16.8,"ben&jerrys, outside sourced, chip bags, lots of feminine hygene products"
5/5/15,Graham,Landfill,Paper,1.0,7.0,"cereal boxes, paperboard boxes"
5/5/15,Graham,Landfill,Plastic Film,1.0,2.7,"liners, plastic wrappers"
5/5/15,Graham,Landfill,Misc. Meal Waste,0.2,14.9,
5/5/15,Graham,Landfill,Aseptic Containers,0.1,0.8,
5/5/15,Graham,Landfill,Paper Towels,0.67,4.7,
5/5/15,Graham,Landfill,Terracycle,0.25,1.8,"shampoo&cond. Containers, deoderants, bar wrappers"
5/5/15,Graham,Landfill,Reusables,0.33,8.1,clothing
5/5/15,Graham,Landfill,Paper,1.0,6.3,"recipts, paper bags"
5/5/15,Graham,Landfill,Plastic Film,0.75,2.6,"plastic bags, wrappers"
5/5/15,Graham,Landfill,Plastic 1-7,1.0,8.0,"bottles, soda bottles"
5/5/15,Graham,Landfill,Metal,0.13,0.9,"aluminum cans, metal foil, chipotle tin"
