Date,Building,Stream,Substream,Volume,Weight,Notes
9/16/16,Malley,Landfill,paper towels,1.0,18.2,
9/16/16,Malley,Landfill,paper towels,1.0,13.6,
9/16/16,Malley,Landfill,paper towels,1.0,11.5,
9/16/16,Malley,Landfill,Plastic Film,1.0,7.2,
9/16/16,Malley,Landfill,paper towels,1.0,13.5,
9/16/16,Malley,Landfill,cardboard,0.33,9.1,
9/16/16,Malley,Landfill,paper towels,0.75,11.4,
9/16/16,Malley,Landfill,Misc. Meal Waste,0.13,7.2,
9/16/16,Malley,Landfill,Compostable Food Containers,0.75,7.9,
9/16/16,Malley,Landfill,reusables,0.33,18.6,"shoes, goggles"
9/16/16,Malley,Landfill,paper,0.25,3.1,maxipad boxes
9/16/16,Malley,Landfill,Const/Demo Waste,0.05,0.4,wood
9/16/16,Malley,Landfill,Plastic Film,0.33,1.8,trash liners
9/16/16,Malley,Landfill,Other Landfill,1.0,25.7,"food wrappers, vaccum bags, blue gloves"
